Subject ,Standard ,SKILL/TOPIC,Learning Objective,Competencies Learners should be able to:,Grade_Level
English,LISTENING AND RESPONDING,Attentive listening and appropriate responding,Learners will listen attentively and show understanding by responding appropriately,listen attentively to levelappropriate stories  rhymes and songs for enjoyment and respond with appreciation  expressing their emotional response to characters and events - discuss and answer questions on stories  rhymes and songs,One
English,LISTENING AND RESPONDING,Attentive listening and appropriate responding,Learners will listen attentively and show understanding by responding appropriately,retell a grade-level story including main story line verbally  with pictures or with actions  in the correct order,One
English,LISTENING AND RESPONDING,Attentive listening and appropriate responding,Learners will listen attentively and show understanding by responding appropriately,listen to and respond to verbal instructions  messages  announcements and information,One
English,LISTENING AND RESPONDING,Attentive listening and appropriate responding,Learners will listen attentively and show understanding by responding appropriately,repeat a sequence of 2 simple 4 to 5 word sentences correctly  e.g. I like my doll. She has a green dress.,One
English,LISTENING AND RESPONDING,Attentive listening and appropriate responding,Learners will listen attentively and show understanding by responding appropriately,listen then respond by drawing  miming and role-playing,One
English,LISTENING AND RESPONDING,Attentive listening and appropriate responding,Learners will listen attentively and show understanding by responding appropriately,show accepted listening behaviour - listen to speaker respectfully without interrupting; maintain eye contact - consider the opinions of others and respond in a considerate manner - interact with others by discussing  role-playing  imitating  miming  singing and talking  using appropriate strategies  e.g. taking turns to speak,One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,communicate spontaneously and confidently  expressing own ideas  opinions and experiences using interesting  gradeappropriate descriptions and action words - develop the muscles of the tongue  e.g. left to right  top to bottom movements - use non-verbal strategies (eye contact  correct body posture ) to communicate effectively  taking cultural differences into account,One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,use everyday language fluently with expression  and correct intonation and pronunciation - use grade-level knowledge of grammar and vocabulary when speaking - practise the use of new vocabulary,One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,stop at the end of a sentence when speaking,One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,use and pronounce the indefinite articles ‘a’ and ‘an’ correctly  e.g. ‘a’ before a consonant sound (a book) and ‘an’ before a vowel (an apple),One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,use and pronounce the definite article ‘the’ correctly  e.g. ‘the’ before a consonant sound (the book) and ‘the’ (pronounced ‘thee’) before a vowel sound (the apple),One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,pronounce contractions correctly in informal speech  e.g. I’m  he’s  she’s  etc,One
English,SPEAKING AND COMMUNICATING,Fluent  confident and imaginative communication,Learning Objective Learners will communicate fluently  confidently and with imagination,use courtesy expressions when greeting  asking for permission  thanking apologising  and introducing oneself,One
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,tell stories using simple sentences and correct language structure - in the simple past tense,One
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,say rhymes and sing songs - play language games  e.g. Simon says,One
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,recount/recall personal experiences - use simple past tense- describe an action and a result  e.g. I ate too much (action) so I was sick (result),One
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,describe an item  object or animal or event/experience - show and tell; daily news - use simple present tense  e.g. This is my pet tortoise. His name is Tom. He eats lettuce. - describe similarities and differences  e.g. This leaf is the same colour as that one. - use present continuous  e.g. I am having a birthday party on the weekend. - use simple past tense  e.g. I saw a fish. It was big. - use future tense  e.g. I will be seven years old tomorrow,One
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,explain by telling in simple terms how things work - use simple present tense  e.g. My toy car moves when I push it. It has wheels that go round.,One
